feature,bucket,regime,side,horizon,label,sample_count,cluster_count,raw_expectancy_bps,expectancy_after_5_bps,expectancy_after_7_5_bps,expectancy_after_10_bps,pf_after_5_bps,pf_after_7_5_bps,pf_after_10_bps,win_rate_after_5_bps,win_rate_after_7_5_bps,win_rate_after_10_bps,gross_profit_after_5_bps,gross_loss_after_5_bps,gross_profit_after_7_5_bps,gross_loss_after_7_5_bps,gross_profit_after_10_bps,gross_loss_after_10_bps,win_count_after_5_bps,loss_count_after_5_bps,win_count_after_7_5_bps,loss_count_after_7_5_bps,win_count_after_10_bps,loss_count_after_10_bps,win_rate,profit_factor,average_forward_return,median_forward_return,worst_month_expectancy,worst_symbol_expectancy,leave_one_symbol_out_passed,leave_one_month_out_passed,leave_one_quarter_out_passed,top_symbol_contribution_pct,top_month_contribution_pct,top_quarter_contribution_pct
RealizedVol60,realized_vol_60_mid,trend_down,long,240m,ROBUST_EDGE_CANDIDATE,18013,9618,21.994585,16.994585,14.494585,11.994585,1.174282,1.146940,1.120205,54.993616,54.555044,54.144229,2062608.396179,1756484.935384,2037950.670430,1776859.709635,2013475.338581,1797416.877786,9906,8107,9827,8186,9753,8260,54.993616,1.174282,21.994585,32.100000,-42.937228,-7.524183,true,true,true,23.856618,23.519914,39.363309
ETHContext60,eth_down,compressed_up,short,240m,ROBUST_EDGE_CANDIDATE,1354,1292,20.773165,15.773165,13.273165,10.773165,1.220991,1.182969,1.146119,53.618907,52.954210,52.067947,117998.209064,96641.344218,116195.513453,98223.648606,114415.462594,99828.597748,726,628,717,637,705,649,53.618907,1.220991,20.773165,17.550000,-94.943953,-4.227680,true,true,true,29.123475,20.734026,39.628060
CloseRelativeEMA20,below_ema20_strong,range,long,240m,ROBUST_EDGE_CANDIDATE,6205,5393,19.331404,14.331404,11.831404,9.331404,1.159586,1.129983,1.101149,51.522965,51.023368,50.572119,646158.545884,557232.184052,638208.567595,564794.705764,630335.302288,572433.940457,3197,3008,3166,3039,3138,3067,51.522965,1.159586,19.331404,12.400000,-52.446935,3.400412,true,true,true,22.229962,32.883758,45.539993
CloseRelativeEMA20,above_ema20_strong,range,long,240m,ROBUST_EDGE_CANDIDATE,7404,6323,18.711305,13.711305,11.211305,8.711305,1.142121,1.114784,1.088097,52.404106,51.782820,51.364127,815831.064096,714312.559190,806178.210374,723169.705467,796632.859579,732134.354673,3880,3524,3834,3570,3803,3601,52.404106,1.142121,18.711305,17.400000,-98.136110,6.031416,true,true,true,20.775573,25.388385,48.626628
RealizedVol60,realized_vol_60_mid,compressed_up,long,240m,ROBUST_EDGE_CANDIDATE,9772,6723,17.784558,12.784558,10.284558,7.784558,1.138915,1.110288,1.082388,51.442898,50.931232,50.388866,1024263.942032,899333.236567,1011760.670300,911259.964835,999389.797189,923319.091724,5027,4745,4977,4795,4924,4848,51.442898,1.138915,17.784558,12.200000,-66.550682,-0.338731,true,true,true,26.238850,30.847264,31.132582
ETHContext60,eth_up_strong,trend_down,short,120m,ROBUST_EDGE_CANDIDATE,1625,1418,14.929237,9.929237,7.429237,4.929237,1.186445,1.136160,1.088198,48.307692,47.138462,46.646154,102675.253988,86540.244234,100736.651174,88664.141420,98828.354889,90818.345136,785,840,766,859,758,867,48.307692,1.186445,14.929237,0.000000,-59.686293,-6.768306,true,true,true,38.465141,24.693967,43.584975
CloseRelativeEMA20,above_ema20_strong,trend_up,long,240m,ROBUST_EDGE_CANDIDATE,12304,9129,14.617760,9.617760,7.117760,4.617760,1.109559,1.079897,1.051081,48.293238,47.643043,47.114759,1198456.929637,1080120.014769,1183696.653650,1096119.738782,1169116.551048,1112299.636181,5942,6362,5862,6442,5797,6507,48.293238,1.109559,14.617760,-2.250000,-23.749628,-2.704220,true,true,true,25.439270,34.054401,42.379904
ETHContext60,eth_down_strong,trend_down,long,240m,ROBUST_EDGE_CANDIDATE,28667,16397,14.138055,9.138055,6.638055,4.138055,1.115614,1.082772,1.050854,54.055185,53.343566,52.680783,2527786.711707,2265826.080743,2489294.906687,2299001.775723,2451309.346980,2332683.716016,15496,13171,15292,13375,15102,13565,54.055185,1.115614,14.138055,20.200000,-37.305177,1.799548,true,true,true,23.224128,18.964453,37.518726
BTCContext60,btc_up_strong,compressed_up,long,240m,ROBUST_EDGE_CANDIDATE,12427,9282,13.458337,8.458337,5.958337,3.458337,1.122407,1.084698,1.048292,50.390279,49.714332,49.054478,963815.354203,858703.604221,948263.350991,874219.101010,932912.430754,889935.680772,6262,6165,6178,6249,6096,6331,50.390279,1.122407,13.458337,6.500000,-41.739451,3.493784,true,true,true,26.324300,13.385499,27.886958
CloseRelativeEMA20,below_ema20_strong,trend_down,long,240m,ROBUST_EDGE_CANDIDATE,13207,9671,13.263914,8.263914,5.763914,3.263914,1.085194,1.058714,1.032853,53.592792,52.987052,52.517604,1390237.134694,1281095.625136,1372636.847339,1296512.837782,1355226.308062,1312119.798505,7078,6129,6998,6209,6936,6271,53.592792,1.085194,13.263914,22.400000,-42.158003,-2.184339,true,true,true,33.886225,27.263132,43.353152
